Macro time on ka.upc.edu: 12/05/2013 13:27:06; Problema ID: 1431; Temps total: 4.4199478626251;
Macro time on ka.upc.edu: 12/05/2013 13:32:12; Problema ID: 1316; Temps total: 3.5349130630493;
Macro time on ka.upc.edu: 12/05/2013 13:33:06; Problema ID: 1431; Temps total: 5.5013189315796;
Macro time on ka.upc.edu: 12/05/2013 13:34:45; Problema ID: 1316; Temps total: 3.8950140476227;
Macro time on ka.upc.edu: 12/05/2013 13:37:07; Problema ID: 1422; Temps total: 2.7333450317383;
Macro time on ka.upc.edu: 12/05/2013 13:47:27; Problema ID: 1431; Temps total: 4.4152321815491;
Macro time on ka.upc.edu: 12/05/2013 13:47:44; Problema ID: 1431; Temps total: 1.8810131549835;
Macro time on ka.upc.edu: 12/05/2013 13:47:53; Problema ID: 1431; Temps total: 1.7566931247711;
Macro time on ka.upc.edu: 12/05/2013 13:53:05; Problema ID: 1431; Temps total: 4.8592920303345;
Macro time on ka.upc.edu: 12/05/2013 14:01:57; Problema ID: 1436; Temps total: 4.8813688755035;
Macro time on ka.upc.edu: 12/05/2013 14:05:31; Problema ID: 1436; Temps total: 4.926687002182;
Macro time on ka.upc.edu: 12/05/2013 14:15:50; Problema ID: 1425; Temps total: 3.7970788478851;
Macro time on ka.upc.edu: 12/05/2013 14:27:21; Problema ID: 1204; Temps total: 5.0318410396576;
Macro time on ka.upc.edu: 12/05/2013 15:00:56; Problema ID: 1444; Temps total: 5.2027418613434;
Macro time on ka.upc.edu: 12/05/2013 15:06:38; Problema ID: 1444; Temps total: 5.2056529521942;
Macro time on ka.upc.edu: 12/05/2013 15:09:58; Problema ID: 1444; Temps total: 4.1038129329681;
Macro time on ka.upc.edu: 12/05/2013 15:26:37; Problema ID: 1424; Temps total: 4.974555015564;
Macro time on ka.upc.edu: 12/05/2013 15:31:59; Problema ID: 1424; Temps total: 4.6868598461151;
Macro time on ka.upc.edu: 12/05/2013 15:38:30; Problema ID: 1424; Temps total: 5.0255010128021;
Macro time on ka.upc.edu: 12/05/2013 16:10:41; Problema ID: 1275; Temps total: 3.2107520103455;
Macro time on ka.upc.edu: 12/05/2013 16:52:33; Problema ID: 1262; Temps total: 2.4519560337067;
Macro time on ka.upc.edu: 12/05/2013 17:14:50; Problema ID: 1422; Temps total: 5.7947609424591;
Macro time on ka.upc.edu: 12/05/2013 17:15:46; Problema ID: 1422; Temps total: 2.848256111145;
Macro time on ka.upc.edu: 12/05/2013 17:33:43; Problema ID: 1198; Temps total: 4.1346781253815;
Macro time on ka.upc.edu: 12/05/2013 17:35:13; Problema ID: 1397; Temps total: 7.5152578353882;
Macro time on ka.upc.edu: 12/05/2013 17:37:54; Problema ID: 1397; Temps total: 2.8727829456329;
Macro time on ka.upc.edu: 12/05/2013 17:38:45; Problema ID: 1397; Temps total: 2.6536300182343;
Macro time on ka.upc.edu: 12/05/2013 17:39:40; Problema ID: 1397; Temps total: 2.9606969356537;
Macro time on ka.upc.edu: 12/05/2013 17:42:16; Problema ID: 1397; Temps total: 2.6107001304626;
Macro time on ka.upc.edu: 12/05/2013 17:44:12; Problema ID: 1397; Temps total: 3.3192291259766;
Macro time on ka.upc.edu: 12/05/2013 17:44:18; Problema ID: 1198; Temps total: 4.8615090847015;
Macro time on ka.upc.edu: 12/05/2013 17:45:44; Problema ID: 1262; Temps total: 4.335590839386;
Macro time on ka.upc.edu: 12/05/2013 17:46:21; Problema ID: 1397; Temps total: 2.326493024826;
Macro time on ka.upc.edu: 12/05/2013 17:48:29; Problema ID: 1397; Temps total: 2.0874569416046;
Macro time on ka.upc.edu: 12/05/2013 17:50:28; Problema ID: 1397; Temps total: 2.8215100765228;
Macro time on ka.upc.edu: 12/05/2013 18:09:57; Problema ID: 1397; Temps total: 6.1805579662323;
Macro time on ka.upc.edu: 12/05/2013 18:11:40; Problema ID: 1397; Temps total: 2.4314901828766;
Macro time on ka.upc.edu: 12/05/2013 18:14:09; Problema ID: 1397; Temps total: 2.4669680595398;
Macro time on ka.upc.edu: 12/05/2013 18:15:52; Problema ID: 1397; Temps total: 2.8476259708405;
Macro time on ka.upc.edu: 12/05/2013 18:17:07; Problema ID: 1397; Temps total: 3.2460827827454;
Macro time on ka.upc.edu: 12/05/2013 18:21:55; Problema ID: 1397; Temps total: 4.6059639453888;
